search_word	similar_words
cijfermatige	['informatieinhoud', 'geïnterpoleerde', 'correctiemethode', 'mapt', 'picarats']
rapportage	['rapport', 'rapportages', 'koopkrachteffecten', 'aanbevelingen', 'rijksrecherche']
cijfers	['volkstellingen', 'tienjaarlijkse', 'istat', 'steeg', 'periode']
ptss	['stressstoornis', 'nietaangeboren', 'posttraumatische', 'psychosen', 'paniekstoornis']
comensha	['vrouwenhandel', 'mensenhandel', 'flitscontroles', 'mededingingsregels', 'surseances']
commercieel	['beroepsvisserij', 'visserij', 'belang', 'zeehengelaars', 'aanzienlijk']
draagmoederschap	['wensouders', 'huidtests', 'stemmingsstabiliserende', 'donormelk', 'auteursrechtinbreuk']
corine	['vloetgraven', 'ymke', 'saija', 'moggré', 'staarink']
corine	['vloetgraven', 'ymke', 'saija', 'moggré', 'staarink']
dettmeijer	['mcrobbie', 'dugal', 'surovy', 'houdart', 'delorie']
corinne	['francine', 'renée', 'anne', 'hazanavicius', 'koeckhoven']
dader	['daderkennis', 'verdachte', 'schuldige', 'moordenaar', 'daders']
daderprofiel	['fortuynrevolte', 'flikkereffect', 'psvpubliek', 'veilingactiviteiten', 'kγ']
daderprofiel	['fortuynrevolte', 'flikkereffect', 'psvpubliek', 'veilingactiviteiten', 'kγ']
loverboy	['forsworn', 'brotherly', 'doofstom', 'itgirl', 'vickys']
daders	['verdachten', 'plegers', 'dader', 'moorden', 'schuldigen']
daders	['verdachten', 'plegers', 'dader', 'moorden', 'schuldigen']
van	['wesemale', 'essenstein', 'eveneens', 'palant', 'zeyst']
seksueel	['seksuele', 'seks', 'misbruik', 'pedofilie', 'homoseksuele']
misbruik	['kindermisbruik', 'seksueel', 'commissiedeetman', 'misbruiken', 'minderjarigen']
de	['die', 'van', 'openhielden', 'en', 'vierentachtigste']
hoge	['lage', 'hoog', 'hogere', 'messnelheid', 'kustbrug']
raad	['commissie', 'commissarissen', 'auditoraat', 'belastingkamer', 'vergadering']
en	['terwijl', 'eveneens', 'maar', 'die', 'evenals']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
den	['haag', 'wassenaar', 'coljé', 'bosch', 'gouda']
haag	['den', 'rotterdam', 'wassenaar', 'haarlem', 'gouda']
dettmeijer	['mcrobbie', 'dugal', 'surovy', 'houdart', 'delorie']
directieleden	['versteeghe', 'oudbestuurders', 'topmannen', 'tabaksfabrikanten', 'medewerkers']
effectief	['effectiever', 'effectieve', 'efficiënt', 'afdoende', 'iproniazide']
preventief	['profylactisch', 'medicatie', 'vochttoediening', 'lamivudine', 'preventieve']
elfde	['twaalfde', 'negende', 'tiende', 'dertiende', 'zevende']
rapportage	['rapport', 'rapportages', 'koopkrachteffecten', 'aanbevelingen', 'rijksrecherche']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
engels	['unnamable', 'baslow', 'cofreemasonry', 'votes', 'bislama']
english	['golfing', 'huntyng', 'watercolours', 'exerted', 'reliques']
er	['hier', 'nog', 'tabaksschuren', 'schermgezichten', 'wereldranglijsten']
is	['cryptoglena', 'rhynchopus', 'clydonella', 'iraniola', 'stigacris']
geen	['géén', 'niet', 'zonder', 'nauwelijks', 'enkel']
plan	['plannen', 'voornemen', 'idee', 'project', 'voorstel']
om	['teneinde', 'vergeldingsoorlog', 'te', 'proberen', 'laten']
de	['die', 'van', 'openhielden', 'en', 'vierentachtigste']
resultaten	['districtsverkiezingen', 'prestaties', 'eindreeks', 'nietsignificant', 'wisselvalliger']
te	['laten', 'om', 'vergeldingsoorlog', 'schaakontwikkeling', 'veramerikaansen']
monitoren	['dataoverdracht', 'dataverkeer', 'referentiestations', 'gastbesturingssystemen', 'touchscreens']
ethiopië	['eritrea', 'soedan', 'oeganda', 'kenia', 'somalië']
etniciteit	['etnische', 'etniciteiten', 'etnisch', 'grenskwesties', 'stamverwantschap']
familiemoord	['guilder', 'novalee', 'corie', 'feinstone', 'hepv']
financieel	['bijspringen', 'madoffs', 'financiële', 'transportindustrie', 'liocorno']
gemeentelijk	['middelwijkstraat', 'cantonlaan', 'steenhoffstraat', 'grothestraat', 'eikenderveld']
ggz	['riagg', 'verslavingszorg', 'ggzinstelling', 'mentrum', 'noordhollandnoord']
ggz	['riagg', 'verslavingszorg', 'ggzinstelling', 'mentrum', 'noordhollandnoord']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
grooming	['webcamseks', 'anorgasmie', 'privéinformatie', 'smerigs', 'familieplanning']
herman	['jan', 'dirk', 'gerard', 'oolbekkink', 'schoonderwalt']
bolhaar	['aalbersberg', 'beduin', 'emster', 'politiedistrictschef', 'oudpenningmeester']
het	['dit', 'soerabaiasch', 'ander', 'handelsuitgave', 'odnosum']
slachtoffer	['slachtoffertje', 'mishandelen', 'onschuldige', 'homoclub', 'moorddoodslag']
verklaard	['nietig', 'lukwiya', 'genegeerd', 'afgewezen', 'geëxcommuniceerd']
hoge	['lage', 'hoog', 'hogere', 'messnelheid', 'kustbrug']
raad	['commissie', 'commissarissen', 'auditoraat', 'belastingkamer', 'vergadering']
huishoudens	['priocca', 'ticineto', 'malagnino', 'sartirana', 'somano']
human	['for', 'problems', 'decimating', 'rights', 'reintegration']
trafficking	['laczko', 'discrimination', 'article', 'reintegration', 'traite']
ibp	['mlíder', 'upyd', 'gbw', 'dorpsgoed', 'banuoranje']
illegale	['illegaal', 'gokpraktijken', 'legale', 'smokkel', 'jueteng']
incest	['overspel', 'verkrachting', 'bloedschande', 'echtbreuk', 'pedoseksualiteit']
inspectie	['igz', 'hoofdinspectie', 'inspecties', 'beleidskaders', 'ivw']
szw	['bzk', 'ienm', 'vromiod', 'rampenbeheersing', 'jbzraad']
instrument	['muziekinstrument', 'instrumenten', 'klavierinstrument', 'piccolotrompet', 'instrumentarium']
seksueel	['seksuele', 'seks', 'misbruik', 'pedofilie', 'homoseksuele']
grensoverschrijdend	['grensoverschrijdende', 'valys', 'vervoersbeleid', 'vcnl', 'vraagafhankelijke']
gedrag	['gedragingen', 'gedachtepatronen', 'antisociaal', 'subassertief', 'omgericht']
internationaal	['internationale', 'atoomenergieagentschap', 'esaestec', 'egmontkoninklijk', 'energieagentschap']
jeugdhulp	['vuvereniging', 'ggzinstellingen', 'ndlhidc', 'ledenbijeenkomsten', 'ggnet']
jur	['walsem', 'veeren', 'vrieling', 'nieuwerf', 'aikingvan']
jur	['walsem', 'veeren', 'vrieling', 'nieuwerf', 'aikingvan']
de	['die', 'van', 'openhielden', 'en', 'vierentachtigste']
brews	['haliburton', 'condello', 'lovelady', 'tonesupergroep', 'youths']
jur	['walsem', 'veeren', 'vrieling', 'nieuwerf', 'aikingvan']
de	['die', 'van', 'openhielden', 'en', 'vierentachtigste']
vrees	['angst', 'represailles', 'repercussies', 'kleingeestige', 'schaamte']
jurisprudentie	['rechtsregels', 'wetgeving', 'wetsgeschiedenis', 'prorogatie', 'vehofhelvetia']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
kinder	['hausmärchen', 'khm', 'jeugdjury', 'grimm', 'sprookje']
hoer	['slet', 'françesco', 'noenka', 'verleidster', 'primulastraat']
libie	['sahelbenin', 'noordwestsyrië', 'jumhūriyat', 'ليبيا', 'baathpartijen']
libië	['tunesië', 'jordanië', 'soedan', 'irak', 'algerije']
libya	['taşımacılık', 'baktrië', 'mehrdad', 'marmarica', 'σελεύκεια']
madam	['pheip', 'petoetje', 'petatje', 'bigshot', 'piong']
masha	['babybroertje', 'tienervader', 'bijlegt', 'kirchherr', 'atkinsonwood']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
en	['terwijl', 'eveneens', 'maar', 'die', 'evenals']
seksueel	['seksuele', 'seks', 'misbruik', 'pedofilie', 'homoseksuele']
geweld	['oorlogstactiek', 'terreuractiviteiten', 'agressie', 'gewelddadige', 'cocaïnemaffia']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
en	['terwijl', 'eveneens', 'maar', 'die', 'evenals']
seksueel	['seksuele', 'seks', 'misbruik', 'pedofilie', 'homoseksuele']
geweld	['oorlogstactiek', 'terreuractiviteiten', 'agressie', 'gewelddadige', 'cocaïnemaffia']
tegen	['nazitanks', 'strijd', 'groepsmatch', 'blameerde', 'clubverplichtingen']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
en	['terwijl', 'eveneens', 'maar', 'die', 'evenals']
seksueel	['seksuele', 'seks', 'misbruik', 'pedofilie', 'homoseksuele']
geweld	['oorlogstactiek', 'terreuractiviteiten', 'agressie', 'gewelddadige', 'cocaïnemaffia']
tegen	['nazitanks', 'strijd', 'groepsmatch', 'blameerde', 'clubverplichtingen']
kinderen	['dochters', 'kleinkinderen', 'zussen', 'rubensfourment', 'thuiswonende']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
in	['juniorafdeling', 'fahrenbach', 'van', 'studenteraad', 'stadsbediende']
en	['terwijl', 'eveneens', 'maar', 'die', 'evenals']
uit	['charilaidae', 'helicocercus', 'hispanacris', 'kakaduacris', 'aerotegmina']
beeld	['kunstwerk', 'beelden', 'oudtestamentaire', 'beeldje', 'hoofdeind']
ii	['iii', 'iv', 'i', 'vi', 'vii']
merel	['robier', 'spreeuw', 'mieke', 'finnie', 'dorien']
van	['wesemale', 'essenstein', 'eveneens', 'palant', 'zeyst']
groningen	['leeuwarden', 'utrecht', 'groningse', 'winschoten', 'appingedam']
project	['habakkuk', 'openleaks', 'plan', 'metromorfose', 'wideawake']
minderjarigen	['meerderjarigen', 'pedoseksuele', 'geweldsmisdrijven', 'misdrijven', 'ontucht']
naam	['brotskaya', 'blaimer', 'gershenzon', 'kulinitch', 'eiselt']
rapporteur	['commissie', 'mensenrechtencommissie', 'vncommissie', 'industriecommissie', 'senaatscommissies']
nagel	['foudraine', 'blaag', 'nagelbed', 'kolfschooten', 'fiedeldij']
nagelstudio	['gezondheidsclub', 'brandstoffenhandel', 'wijnschool', 'yogastudio', 'cateringservice']
nam	['deed', 'gaf', 'trad', 'neemt', 'ging']
nationaal	['vikosaoös', 'douglasapsley', 'oulanka', 'purnululu', 'kahuzibiéga']
actieplan	['meccanotracé', 'beleidsplan', 'ontwikkelingsbeleid', 'preventiebeleid', 'gebiedsgericht']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
nationaal	['vikosaoös', 'douglasapsley', 'oulanka', 'purnululu', 'kahuzibiéga']
rapporteur	['commissie', 'mensenrechtencommissie', 'vncommissie', 'industriecommissie', 'senaatscommissies']
nazorg	['zorg', 'hulpverlening', 'zorgvrager', 'bijscholing', 'revalidatieteam']
mensenhand	['riviererosie', 'diepploegen', 'wegeroderen', 'bosstrook', 'hermeandering']
negende	['zevende', 'tiende', 'elfde', 'zesde', 'achtste']
nieuwsbrief	['maandelijks', 'alphencc', 'website', 'ledenmagazine', 'programmagids']
nifp	['observatiekliniek', 'infectieziektebestrijding', 'fpk', 'trimbosinstituut', 'kinderoncologie']
onderzoek	['onderzoeken', 'cytologisch', 'crosscultureel', 'ivfkinderen', 'neurowetenschappelijk']
ongelijkheid	['klimaatcrisis', 'ongelijkheden', 'dragelijker', 'gelijkheid', 'kapitaalaccumulatie']
ontucht	['eerbaarheid', 'aanranding', 'ontuchtige', 'prostitutie', 'sodomie']
voor	['hubenthal', 'baraud', 'barsevskis', 'withaar', 'meschnigg']
de	['die', 'van', 'openhielden', 'en', 'vierentachtigste']
rechter	['rechtbank', 'wedzinga', 'changoe', 'rechtspreekt', 'seponeerde']
op	['waarop', 'triatloncarrière', 'vierentachtigste', 'tweeëntachtigjarige', 'filmweek']
goede	['slechte', 'betere', 'goed', 'gunstige', 'moeilijke']
gronden	['percelen', 'heidegronden', 'landbouwgronden', 'grond', 'akkers']
orgaanhandel	['gierigaards', 'huurmoorden', 'drugsdeals', 'jachtshows', 'veebaronnen']
palermo	['catania', 'messina', 'genua', 'bari', 'napels']
protocol	['verbindingsloos', 'netwerkprotocol', 'tkip', 'internetprotocol', 'tls']
paspoort	['visum', 'staatsburgerschap', 'reisdocument', 'identiteitsbewijs', 'identiteitskaart']
pereira	['alves', 'silva', 'figueiredo', 'oliveira', 'luís']
prevalentie	['incidentie', 'mortaliteit', 'hcv', 'binfectie', 'bloedglucose']
prostitutie	['bordelen', 'prostituees', 'mensenhandel', 'ontucht', 'koppelarij']
en	['terwijl', 'eveneens', 'maar', 'die', 'evenals']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
rapport	['onderzoeksrapport', 'eindrapport', 'rapporten', 'onderzoekscommissie', 'commissiedavids']
rapportage	['rapport', 'rapportages', 'koopkrachteffecten', 'aanbevelingen', 'rijksrecherche']
rapport	['onderzoeksrapport', 'eindrapport', 'rapporten', 'onderzoekscommissie', 'commissiedavids']
seksueel	['seksuele', 'seks', 'misbruik', 'pedofilie', 'homoseksuele']
geweld	['oorlogstactiek', 'terreuractiviteiten', 'agressie', 'gewelddadige', 'cocaïnemaffia']
rechter	['rechtbank', 'wedzinga', 'changoe', 'rechtspreekt', 'seponeerde']
risico	['risicos', 'pneumokokkenmeningitis', 'ovariumkanker', 'stolselvorming', 'foliumzuursuppletie']
taxatie	['aannemingsovereenkomst', 'schaduwboekhouding', 'balansdatum', 'aflossingsvrije', 'rekeninghouder']
rusland	['oekraïne', 'witrusland', 'sovjetunie', 'georgië', 'litouwen']
santa	['cruz', 'escalvado', 'bárbara', 'jetibá', 'brígida']
schatting	['honderdvijftigduizend', 'tienduizend', 'veertigduizend', 'vijfduizend', 'tweeduizend']
schatting	['honderdvijftigduizend', 'tienduizend', 'veertigduizend', 'vijfduizend', 'tweeduizend']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
sdg	['secoisolariciresinol', 'sanctusbenedictus', 'liturgica', 'koorfuga', 'passiemuziek']
seks	['seksuele', 'pornografie', 'seksueel', 'barebacking', 'seksualiteit']
in	['juniorafdeling', 'fahrenbach', 'van', 'studenteraad', 'stadsbediende']
seksueel	['seksuele', 'seks', 'misbruik', 'pedofilie', 'homoseksuele']
seksueel	['seksuele', 'seks', 'misbruik', 'pedofilie', 'homoseksuele']
geweld	['oorlogstactiek', 'terreuractiviteiten', 'agressie', 'gewelddadige', 'cocaïnemaffia']
seksueel	['seksuele', 'seks', 'misbruik', 'pedofilie', 'homoseksuele']
misbruik	['kindermisbruik', 'seksueel', 'commissiedeetman', 'misbruiken', 'minderjarigen']
cijfers	['volkstellingen', 'tienjaarlijkse', 'istat', 'steeg', 'periode']
seksueel	['seksuele', 'seks', 'misbruik', 'pedofilie', 'homoseksuele']
overgebrachte	['ontstekinginfectie', 'kastransacties', 'grondstoffenhandel', 'maximumdruk', 'virusstam']
ziekte	['hersenvliesontsteking', 'kroep', 'syfilis', 'chronische', 'aandoening']
seksuele	['seksueel', 'seksualiteit', 'geaardheid', 'homoseksuele', 'genderidentiteit']
uitbuiting	['armoede', 'achterstelling', 'onrechtvaardigheid', 'oppressie', 'discriminatie']
seksuele	['seksueel', 'seksualiteit', 'geaardheid', 'homoseksuele', 'genderidentiteit']
uitbuiting	['armoede', 'achterstelling', 'onrechtvaardigheid', 'oppressie', 'discriminatie']
buiten	['binnen', 'daar', 'nu', 'elders', 'waar']
de	['die', 'van', 'openhielden', 'en', 'vierentachtigste']
seksindustrie	['thematiseerde', 'meidenwegloophuis', 'vrouwenlevens', 'camgirls', 'filmbazen']
mangal	['pandey', 'maulavi', 'bollywoodacteur', 'urrahman', 'saifuddien']
slachtoffer	['slachtoffertje', 'mishandelen', 'onschuldige', 'homoclub', 'moorddoodslag']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
sti	['wrx', 'impreza', 'subaru', 'rline', 'polestar']
suzanne	['julie', 'bonneton', 'juchtmans', 'anne', 'claire']
heerdink	['oudes', 'dubbeltalent', 'stierhout', 'riemko', 'montyn']
taskforce	['deeltijdplus', 'interbestuurlijk', 'kwaliteitsbevordering', 'nictiz', 'jeugdhulp']
theo	['kees', 'wim', 'laseroms', 'henk', 'mulder']
hofstee	['henk', 'jansen', 'menkveld', 'boerman', 'blom']
unodc	['unfpa', 'vnorganisatie', 'ncia', 'unwto', 'tchrd']
update	['preview', 'updates', 'onenote', 'upgrade', 'phone']
cijfers	['volkstellingen', 'tienjaarlijkse', 'istat', 'steeg', 'periode']
vervolging	['vervolgingen', 'veroordeling', 'marteling', 'deportatie', 'beraming']
en	['terwijl', 'eveneens', 'maar', 'die', 'evenals']
berechting	['berechten', 'veroordeling', 'veroordeelde', 'oorlogsmisdrijven', 'vervolging']
veenendaal	['apeldoorn', 'amersfoort', 'ede', 'arnhem', 'tiel']
veilig	['veilige', 'zodoende', 'tijdig', 'voldoende', 'genoeg']
thuis	['éénsoap', 'zakendiner', 'priestertje', 'blokfluitles', 'loonstad']
verkrachtingen	['ontvoeringen', 'martelingen', 'berovingen', 'moorden', 'executies']
vietnamese	['quảng', 'việt', 'bà', 'dương', 'quang']
vijfde	['zesde', 'zevende', 'vierde', 'derde', 'achtste']
vog	['eingetragene', 'inspanningsverbintenis', 'antifraudebeleid', 'bogin', 'advertentiefraude']
voodoo	['ktulu', 'morphine', 'crowbar', 'jook', 'dudes']
vrouwenhandel	['mensenhandel', 'comensha', 'seksbranche', 'prostitutie', 'arbeidsuitbuiting']
werk	['oeuvre', 'werken', 'harmonielehre', 'antedateerde', 'abstraheerde']
werken	['werk', 'oratoriumachtige', 'muziekdramatische', 'postseriële', 'theaterwerken']
werkgelegenheid	['arbeidsmarktbeleid', 'landbouw', 'plattelandsbeleid', 'vervoerssector', 'wijkontwikkeling']
wie	['anderen', 'gerrys', 'vman', 'draule', 'neferoere']
is	['cryptoglena', 'rhynchopus', 'clydonella', 'iraniola', 'stigacris']
de	['die', 'van', 'openhielden', 'en', 'vierentachtigste']
nationaal	['vikosaoös', 'douglasapsley', 'oulanka', 'purnululu', 'kahuzibiéga']
rapporteur	['commissie', 'mensenrechtencommissie', 'vncommissie', 'industriecommissie', 'senaatscommissies']
youtube	['myspace', 'twitter', 'facebook', 'videos', 'internet']
zevende	['zesde', 'vijfde', 'negende', 'achtste', 'tiende']
zevende	['zesde', 'vijfde', 'negende', 'achtste', 'tiende']
rapportage	['rapport', 'rapportages', 'koopkrachteffecten', 'aanbevelingen', 'rijksrecherche']
zevende	['zesde', 'vijfde', 'negende', 'achtste', 'tiende']
rapportage	['rapport', 'rapportages', 'koopkrachteffecten', 'aanbevelingen', 'rijksrecherche']
ze	['zij', 'afstudeerfeestje', 'riquelle', 'symkyn', 'aftastend']
wilde	['wou', 'moest', 'zag', 'wenste', 'kon']
het	['dit', 'soerabaiasch', 'ander', 'handelsuitgave', 'odnosum']
zelf	['maar', 'alleen', 'daar', 'omdat', 'daarbij']
zicht	['linkerwiel', 'kanonnendek', 'omwaaien', 'schoorsteeneffect', 'aanaarden']
op	['waarop', 'triatloncarrière', 'vierentachtigste', 'tweeëntachtigjarige', 'filmweek']
kwetsbaarheid	['consumptiepatroon', 'dragelijker', 'medicalisatie', 'schuifkrachten', 'onbegaanbaarheid']
overige	['meeste', 'resterende', 'alle', 'behalve', 'beide']
